Genus	PhaC
Carnobacterium	NO
Wilmottia_Ant-Ph58	NO
Glutamicibacter	NO
Defluviilinea	NO
Tychonema_CCAP_1459-11B	NO
C39	NO
JdFR-76	NO
Alcaligenes	YES
MM1	NO
Subsaxibacter	NO
Dyadobacter	NO
Porphyrobacter	YES
Brochothrix	NO
Azovibrio	NO
Methyloversatilis	YES
Flavisolibacter	NO
Plasticicumulans	NO
Leptolyngbya_PCC-6306	NO
Wolinella	NO
Ruegeria	YES
Lelliottia	NO
Inhella	NO
Maritimibacter	NO
Floricoccus	NO
Alkanindiges	NO
Denitromonas	NO
Methylocella	YES
Thiobios	NO
Pythium_ultimum	NO
Rheinheimera	NO
Syntrophobotulus	NO
Methylocaldum	YES
Segetibacter	NO
Castellaniella	YES
Cytophaga	NO
Methylobacillus	NO
Ornatilinea	NO
Tepidisphaera	NO
Chelativorans	YES
Chujaibacter	NO
Bacteriovorax	NO
Myroides	NO
GKS98_freshwater_group	NO
Ignatzschineria	NO
Immundisolibacter	YES
Silvanigrella	NO
Methyloceanibacter	YES
Lutimaribacter	NO
Niveibacterium	YES
Hypnocyclicus	NO
Latilactobacillus	NO
Desulfomonile	YES
Solobacterium	NO
Methylophilus	NO
Brachybacterium	NO
Family_XIII_AD3011_group	NO
UTCFX1	NO
Nitratireductor	YES
Rurimicrobium	NO
Fulvivirga	NO
Bact-08	NO
Emticicia	NO
Erythrobacter	YES
OLB15	NO
Flavicella	NO
Sandaracinobacter	NO
Parvibaculum	YES
Solitalea	NO
Francisella	NO
Catenisphaera	NO
UBA6140	NO
Haoranjiania	NO
gamma_proteobacterium_OR-113	NO
Vagococcus	NO
Albirhodobacter	NO
Sulfuriferula	NO
Prevotella_9	NO
Marivita	NO
Chelatococcus_asaccharovorans	NO
Alistipes	NO
Sphingosinicella	YES
Neisseria	YES
Oceanobacter	NO
Thiopseudomonas	YES
Thiocapsa	YES
Sagittula	YES
Rubinisphaera	NO
Moheibacter	NO
Spirochaeta	NO
Pelolinea	NO
Undibacterium	YES
Lutibacter	NO
Taeseokella	NO
Vicingus	NO
Meiothermus	NO
Algoriella	NO
Quatrionicoccus	YES
Leucothrix	NO
Paucibacter	NO
Algoriphagus	NO
Methyloparacoccus	NO
Rickettsia	YES
Acidocella	YES
Parabacteroides	NO
Litorilinea	NO
Methylibium	YES
Beggiatoa	YES
Koukoulia	NO
Donghicola	NO
Hylemonella	YES
Mariniflexile	NO
Mycoplasma	NO
Tolumonas	YES
Skermania	YES
Empedobacter	NO
Erysipelotrichaceae_UCG-003	NO
Albibacter	NO
Paenalcaligenes	NO
Luteibacter	YES
Chlorobium	NO
Giesbergeria	NO
Bordetella	YES
Variovorax	YES
Pannonibacter	YES
Arcicella	NO
Pythium_insidiosum	NO
Kocuria	NO
Paeniglutamicibacter	NO
Kluyvera	NO
Oricola	YES
Malikia	NO
Coxiella	NO
Sphingobacterium	NO
Nodosilinea_PCC-7104	NO
Sebaldella	NO
Pelomonas	NO
Paucilactobacillus	NO
Methylosarcina	NO
Sporocytophaga	NO
MSBL3	NO
Holdemanella	NO
Ulvibacter	NO
Schlesneria	NO
Lysinibacillus	NO
Draconibacterium	NO
Ligilactobacillus	NO
ZOR0006	NO
Chryseolinea	NO
Cellulophaga	NO
Nioella	NO
Caproiciproducens	NO
Chamaesiphon_PCC-6605	NO
